iter	RMSE
588	553.7408513
589	553.6742232
590	553.6295367
591	553.5885413
592	553.5438204
593	553.5031876
594	553.4472966
595	553.4094932
596	553.364781
597	553.3122934
598	553.2653264
599	553.2579713
600	553.2083471
601	553.1763432
602	553.1404801
603	553.0615718
604	552.9758996
605	552.9578803
606	552.9268962
607	552.8902194
608	552.8530861
609	552.8167938
610	552.7310281
611	552.6899422
612	552.6528067
613	552.6386261
614	552.5974629
615	552.56327
616	552.514178
617	552.47239
618	552.437402
619	552.3953043
620	552.3019237
621	552.2962892
622	552.2867963
623	552.2502753
624	552.2006012
625	552.1667332
626	552.1210293
627	552.0781451
628	552.040894
629	551.9932047
630	551.983988
631	551.966185
632	551.937548
633	551.9027769
634	551.8717073
635	551.8315068
636	551.7893389
637	551.7538943
638	551.7449845
639	551.6986877
640	551.6909876
641	551.6091955
642	551.5635325
643	551.5554038
644	551.5130843
645	551.484936
646	551.4770201
647	551.4432197
648	551.4117822
649	551.3727954
650	551.3248387
651	551.2886019
652	551.2752773
653	551.2348387
654	551.1756078
655	551.1530954
656	551.1094455
657	551.0795067
658	551.0184073
659	550.955663
660	550.9114483
661	550.8739879
662	550.8380446
663	550.8083292
664	550.7868681
665	550.7739624
666	550.7168686
667	550.6681209
668	550.6617304
669	550.6023516
670	550.5394393
671	550.5066266
672	550.4635481
673	550.4184836
674	550.3701594
675	550.3422068
676	550.2973935
677	550.2440612
678	550.1765919
679	550.1391575
680	550.1032355
681	550.0974551
682	550.0790363
683	550.022643
684	549.9951503
685	549.9824251
686	549.9785687
687	549.9276706
688	549.8645429
689	549.8385092
690	549.810411
691	549.7804095
692	549.7552817
693	549.6995671
694	549.6863538
695	549.5843795
696	549.4881638
697	549.4202006
698	549.3789442
699	549.3719688
700	549.3261401
701	549.3224539
702	549.3188436
703	549.2415271
704	549.2225637
705	549.1847036
706	549.1275921
707	549.1222856
708	549.1171057
709	549.1136967
710	549.0873062
711	549.0631296
712	549.0402301
713	548.9754331
714	548.9466535
715	548.9036572
716	548.878116
717	548.8655877
718	548.8406256
719	548.79733
720	548.7923829
721	548.7307684
722	548.7030029
723	548.6997294
724	548.6457532
725	548.6425529
726	548.6274555
727	548.6092545
728	548.597899
729	548.5400736
730	548.5139024
731	548.5100574
732	548.4431707
733	548.4286438
734	548.3923131
735	548.3613641
736	548.3513754
737	548.3471622
738	548.318756
739	548.3160113
740	548.2451561
741	548.2088476
742	548.1789716
743	548.1663183
744	548.1439998
745	548.1340145
746	548.0756323
747	548.0013785
748	547.9166302
749	547.8546233
750	547.8242603
751	547.8159479
752	547.7832393
753	547.7400983
754	547.729574
755	547.6750589
756	547.6451713
757	547.5930814
758	547.5830715
759	547.5084679
760	547.4618994
761	547.412158
762	547.3275886
763	547.2464126
764	547.2141856
765	547.1730743
766	547.1297708
767	547.096647
768	547.084092
769	547.0648145
770	547.0432947
771	547.0116722
772	546.9726532
773	546.928396
774	546.8770274
775	546.8270939
776	546.7665337
777	546.7556533
778	546.6990405
779	546.6726146
780	546.5869355
781	546.5326417
782	546.5058513
783	546.4321403
784	546.382036
785	546.3561347
786	546.3277365
787	546.3149687
788	546.3039126
789	546.2497863
790	546.2145916
791	546.1704733
792	546.1367954
793	546.1203138
794	546.1045977
795	546.0398878
796	546.0194352
797	545.9859024
798	545.9807841
799	545.942396
800	545.8684217
801	545.8401107
802	545.8068972
803	545.7702624
804	545.7007136
805	545.6960235
806	545.6444211
807	545.5881679
808	545.5429617
809	545.5205299
810	545.4684005
811	545.4454084
812	545.4070719
813	545.3705071
814	545.3279234
815	545.2957801
816	545.2392104
817	545.1577644
818	545.1281911
819	545.1089563
820	545.0504836
821	545.0358305
822	545.0065783
823	544.9682091
824	544.9374794
825	544.904409
826	544.8226645
827	544.7469568
828	544.7302149
829	544.6764188
830	544.6370657
831	544.6128542
832	544.5802474
833	544.5280232
834	544.4988662
835	544.4193356
836	544.3916036
837	544.3580856
838	544.3255716
839	544.2849138
840	544.2354645
841	544.200025
842	544.1632172
843	544.1293613
844	544.105229
845	544.0783827
846	544.057546
847	544.0299982
848	543.9870148
849	543.9635865
850	543.9136646
851	543.8847134
852	543.7860493
853	543.7722985
854	543.7492309
855	543.7341994
856	543.7225947
857	543.6893843
858	543.6200564
859	543.5748533
860	543.4895806
861	543.4402696
862	543.4026977
863	543.3589547
864	543.3233311
865	543.3022906
866	543.2747268
867	543.2272894
868	543.1920049
869	543.1348204
870	543.0863496
871	543.029148
872	542.9884897
873	542.9660916
874	542.9615691
875	542.9294474
876	542.8547678
877	542.8001695
878	542.7539871
879	542.7237138
880	542.6478392
881	542.5799127
882	542.532544
883	542.4691403
884	542.4388845
885	542.393743
886	542.3462211
887	542.3185355
888	542.2960991
889	542.2635753
890	542.2000894
891	542.1637241
892	542.1292491
893	542.0971382
894	542.0635512
895	542.0439429
896	542.0177049
897	541.9757285
898	541.9294302
899	541.8852575
900	541.8648111
901	541.8365679
902	541.7921297
903	541.7664124
904	541.7269392
905	541.6960548
906	541.6485748
907	541.6146683
